

[2019-07-27 16:20:53] Startup - updater built Nov 23 2016 01:05:42
[2019-07-27 16:20:54] Verifying installation...
[2019-07-27 16:20:54] Unable to read and verify install manifest /home/medivh/.steam/package/steam_client_ubuntu12.installed
[2019-07-27 16:20:54] Verification complete
[2019-07-27 16:20:54] Downloading Update...
[2019-07-27 16:20:54] Checking for available update...
[2019-07-27 16:20:54] Package file tenfoot_misc_all.zip.1ca83d76835b4613170f5cead778b176b11f2b0c missing or incorrect size
[2019-07-27 16:20:54] Package file tenfoot_dicts_all.zip.12333245b7d523f68418283e93b0572508fa127ee8f missing or incorrect size
[2019-07-27 16:20:54] Package file tenfoot_fonts_all.zip.vz.7673e4cd32b6752bc621d8bc1a7118a9af19b64a_12077027 missing or incorrect size
[2019-07-27 16:20:54] Package file tenfoot_ambientsounds_all.zip.89b80bcfdd11b2b99257ddbbdc374e2df54e2738 missing or incorrect size
[2019-07-27 16:20:54] Package file tenfoot_sounds_all.zip.vz.ffef2b2fc386819a842ea79484b966a937c2ca7e_1209792 missing or incorrect size
[2019-07-27 16:20:54] Package file tenfoot_images_all.zip.vz.87fcc1807f5af70f47475338456472e256dc61c5_31324448 missinf g or incorrect size
[2019-07-27 16:20:54] Package file tenfoot_all.zip.vz.1cf40065ecd7af0cf76cd8e8535e556d89aea4d5_2617915 missing or incorrect size
[2019-07-27 16:20:54] Package file friendsui_all.zip.vz.11081b22e6f83b1794b463099e8ace75b9de95b9_15875212 missing or incorrect size
[2019-07-27 16:20:54] Package file resources_misc_all.zip.vz.4a1fa88d21b005b67a41a9a0fc6044ae1fa46791_2225211 missing or incorrect size
[2019-07-27 16:20:54] Package file resources_music_all.zip.vz.7a62e15083d4a65668f0d1fa58ad8c1b99fb5ace_3708050 missing or incorrect size
[2019-07-27 16:20:54] Package file resources_hidpi_all.zip.vz.66e6d0c4758df08e7a52aeca5d75f7cf2d243268_56612 missing or incorrect size
[2019-07-27 16:20:54] Package file resources_all.zip.vz.96169894093c2f53e32ea35b55d745a31d49c47a_55267206 missing or incorrect size
[2019-07-27 16:20:54] Package file strings_en_all.zip.vz.48b2b176ea5f6616bd2b2d689b969b51ab71f7a8_90080 missing or incorrect size
[2019-07-27 16:20:54] Package file strings_all.zip.vz.fb4de23d14cf4d29a8ae099cbe52000e6a60d9e9_2257556 missing or incorrect size
[2019-07-27 16:20:54] Package file public_all.zip.vz.719bcfde2045949beb13a1aefb3585e3784f7123_864994 missing or incorrect size
[2019-07-27 16:20:54] Package file bins_ubuntu12.zip.vz.ae31a0d9c5e5dacc2148a40d849036cc905029ce_19579024 missing or incorrect size
[2019-07-27 16:20:54] Package file bins_pub_ubuntu12.zip.vz.7364429138fc37ba6b2ec27ff282cc64f3608c8c_9044391 missing or incorrect size
[2019-07-27 16:20:54] Package file bins_sdk_ubuntu12.zip.vz.f068f3f77c78ba2b903c280089e9e2211e47a87b_13491692 missing or incorrect size
[2019-07-27 16:20:54] Package file bins_codecs_ubuntu12.zip.vz.228ce3d6bd2f702a390c63cef6158d21ba57c9e5_2373711 missing or incorrect size
[2019-07-27 16:20:54] Package file bins_misc_ubuntu12.zip.vz.467ba8a9b4b0fabbc292a01ad7353ed5862ba358_4387874 missing or incorrect size
[2019-07-27 16:20:54] Package file webkit_ubuntu12.zip.vz.8c1f76b051bb6cc82bef667b0cc83ca5be1780c9_53196224 missing or incorrect size
[2019-07-27 16:20:54] Package file miles_ubuntu12.zip.vz.4fd048667c97ef6eb976f4c42ce5c18f8695ac9e_295483 missing or incorrect size
[2019-07-27 16:20:54] Package file sdl2_ubuntu12.zip.vz.8d83ef1b57d5cd4538499f213fa8ecc90e40c580_682570 missing or incorrect size
[2019-07-27 16:20:54] Package file steam_ubuntu12.zip.vz.c29db016b039f463ace8a74cc00b69a9967d7706_1548317 missing or incorrect size
[2019-07-27 16:20:54] Package file runtime_part0_ubuntu12.zip.b9539c56c78f411493f9a1b1fbac414175573387 missing or incorrect size
[2019-07-27 16:20:54] Package file runtime_part1_ubuntu12.zip.9da5f7c14c180d54426f125bc2b895a3fc122eb5 missing or incorrect size
[2019-07-27 16:20:54] Package file runtime_part2_ubuntu12.zip.268ee301a166a39d5ecea2fdc691d3ff7f1cde8f missing or incorrect size
[2019-07-27 16:20:54] Downloading update (0 of 350,762 KB)...
[2019-07-27 16:20:54] Downloading update (1,913 of 350,762 KB)...
[2019-07-27 16:20:55] Downloading update (3,584 of 350,762 KB)...
[2019-07-27 16:20:55] Downloading update (5,145 of 350,762 KB)...
[2019-07-27 16:20:55] Downloading update (6,600 of 350,762 KB)...
[2019-07-27 16:20:55] Downloading update (8,047 of 350,762 KB)...
[2019-07-27 16:20:56] Downloading update (9,313 of 350,762 KB)...
[2019-07-27 16:20:56] Downloading update (10,452 of 350,762 KB)...
[2019-07-27 16:20:56] Downloading update (11,717 of 350,762 KB)...
[2019-07-27 16:20:56] Downloading update (12,996 of 350,762 KB)...
[2019-07-27 16:20:57] Downloading update (14,275 of 350,762 KB)...
[2019-07-27 16:20:57] Downloading update (15,555 of 350,762 KB)...
[2019-07-27 16:20:57] Downloading update (16,835 of 350,762 KB)...
[2019-07-27 16:20:57] Downloading update (17,996 of 350,762 KB)...
[2019-07-27 16:20:58] Downloading update (19,290 of 350,762 KB)...
[2019-07-27 16:20:58] Downloading update (20,584 of 350,762 KB)...
[2019-07-27 16:20:58] Downloading update (21,878 of 350,762 KB)...
[2019-07-27 16:20:58] Downloading update (23,171 of 350,762 KB)...
[2019-07-27 16:20:59] Downloading update (24,347 of 350,762 KB)...
[2019-07-27 16:20:59] Downloading update (25,655 of 350,762 KB)...
[2019-07-27 16:20:59] Downloading update (26,991 of 350,762 KB)...
[2019-07-27 16:20:59] Downloading update (28,265 of 350,762 KB)...
[2019-07-27 16:21:00] Downloading update (29,521 of 350,762 KB)...
[2019-07-27 16:21:00] Downloading update (30,688 of 350,762 KB)...
[2019-07-27 16:21:00] Downloading update (31,738 of 350,762 KB)...
[2019-07-27 16:21:00] Downloading update (32,906 of 350,762 KB)...
[2019-07-27 16:21:01] Downloading update (34,134 of 350,762 KB)...
[2019-07-27 16:21:01] Downloading update (35,397 of 350,762 KB)...
[2019-07-27 16:21:01] Downloading update (36,526 of 350,762 KB)...
[2019-07-27 16:21:01] Downloading update (37,772 of 350,762 KB)...
[2019-07-27 16:21:02] Downloading update (38,967 of 350,762 KB)...
[2019-07-27 16:21:02] Downloading update (40,051 of 350,762 KB)...
[2019-07-27 16:21:02] Downloading update (41,275 of 350,762 KB)...
[2019-07-27 16:21:02] Downloading update (42,498 of 350,762 KB)...
[2019-07-27 16:21:03] Downloading update (43,725 of 350,762 KB)...
[2019-07-27 16:21:03] Downloading update (44,972 of 350,762 KB)...
[2019-07-27 16:21:03] Downloading update (46,098 of 350,762 KB)...
[2019-07-27 16:21:03] Downloading update (47,350 of 350,762 KB)...
[2019-07-27 16:21:03] Downloading update (48,607 of 350,762 KB)...
[2019-07-27 16:21:03] Downloading update (49,877 of 350,762 KB)...
[2019-07-27 16:21:04] Downloading update (51,028 of 350,762 KB)...
[2019-07-27 16:21:04] Downloading update (52,350 of 350,762 KB)...
[2019-07-27 16:21:04] Downloading update (53,534 of 350,762 KB)...
[2019-07-27 16:21:04] Downloading update (54,702 of 350,762 KB)...
[2019-07-27 16:21:05] Downloading update (55,948 of 350,762 KB)...
[2019-07-27 16:21:05] Downloading update (57,190 of 350,762 KB)...
[2019-07-27 16:21:05] Downloading update (58,697 of 350,762 KB)...
[2019-07-27 16:21:06] Downloading update (60,036 of 350,762 KB)...
[2019-07-27 16:21:06] Downloading update (61,306 of 350,762 KB)...
[2019-07-27 16:21:06] Downloading update (62,586 of 350,762 KB)...
[2019-07-27 16:21:06] Downloading update (63,804 of 350,762 KB)...
[2019-07-27 16:21:07] Downloading update (65,159 of 350,762 KB)...
[2019-07-27 16:21:07] Downloading update (66,467 of 350,762 KB)...
[2019-07-27 16:21:07] Downloading update (67,774 of 350,762 KB)...
[2019-07-27 16:21:07] Downloading update (68,958 of 350,762 KB)...
[2019-07-27 16:21:08] Downloading update (70,280 of 350,762 KB)...
[2019-07-27 16:21:08] Downloading update (71,620 of 350,762 KB)...
[2019-07-27 16:21:08] Downloading update (72,970 of 350,762 KB)...
[2019-07-27 16:21:08] Downloading update (74,238 of 350,762 KB)...
[2019-07-27 16:21:09] Downloading update (75,618 of 350,762 KB)...
[2019-07-27 16:21:09] Downloading update (76,707 of 350,762 KB)...
[2019-07-27 16:21:09] Downloading update (77,916 of 350,762 KB)...
[2019-07-27 16:21:09] Downloading update (79,128 of 350,762 KB)...
